*BISMUTH:0000:0:1:1:1195:1149/1 241
68MES0CCKK11 13/86 0.151163
68SUR0EEGG11 13/86 0.151163
70MES0CCKK11 13/86 0.151163
85DCM0CCKK11 13/86 0.151163
9DCM0CCII11 13/86 0.151163
109DCM0CCKK11 12/86 0.139535
109MES0CCKK11 12/86 0.139535
122DCM0EEGG11 12/86 0.139535
122MES0BBCC11 12/86 0.139535
124SUR0EEGG11 12/86 0.139535
125MXL00CCEE11 12/86 0.139535
132SUR0CCKK11 12/86 0.139535
133DCM0CCKK11 12/86 0.139535
158SUR0CCKK11 12/86 0.139535
168IZZ0CCKK11 12/86 0.139535
18DCM0CCII11 12/86 0.139535
205MES0CCKK11 12/86 0.139535
30DCM0CCII11 12/86 0.139535
34SUR0CCII11 12/86 0.139535
4SUR1CCII11 12/86 0.139535
64MES0CCKK11 12/86 0.139535
70SUR0CCKK11 12/86 0.139535
78SUR0EEGG11 12/86 0.139535
7DCM0CCII11 12/86 0.139535
84SUR0CCKK11 12/86 0.139535
99SUR0CCKK11 12/86 0.139535
100SUR0CCKK11 11/86 0.127907
122MES0CCEE11 11/86 0.127907
123SUR0CCEE11 11/86 0.127907
124MXL00CCEE11 11/86 0.127907
124SUR0CCEE11 11/86 0.127907
125SUR0CCEE11 11/86 0.127907
146MES0CCKK11 11/86 0.127907
158DCM0CCKK11 11/86 0.127907
168SUR0CCKK11 11/86 0.127907
173DCM0CCKK11 11/86 0.127907
173SUR0CCKK11 11/86 0.127907
18SUR0CCII11 11/86 0.127907
201SUR0CCKK11 11/86 0.127907
25SUR0CCII11 11/86 0.127907
30SUR0CCII11 11/86 0.127907
37MES00CCII11 11/86 0.127907
41DCM0CCII11 11/86 0.127907
93DCM0CCKK11 11/86 0.127907
94SUR0CCKK11 11/86 0.127907
102SUR0CCKK11 10/86 0.116279
122DCM0CCEE11 10/86 0.116279
124MXL00EEGG11 10/86 0.116279
142MES0CCKK11 10/86 0.116279
194DCM0CCKK11 10/86 0.116279
33SUR0CCII11 10/86 0.116279
34SUR0BBCC11 10/86 0.116279
66DCM0CCKK11 10/86 0.116279
67SUR0CCEE11 10/86 0.116279
68DCM0CCKK11 10/86 0.116279
82SUR0CCKK11 10/86 0.116279
85SUR0CCKK11 10/86 0.116279
98SUR0CCKK11 10/86 0.116279
122MES0EEGG11 9/86 0.104651
123MXL00BBCC11 9/86 0.104651
124MXL00BBCC11 9/86 0.104651
124SUR0BBCC11 9/86 0.104651
173IZZ0CCKK11 9/86 0.104651
178SUR0CCKK11 9/86 0.104651
196SUR0CCKK11 9/86 0.104651
208SUR0CCKK11 9/86 0.104651
23SUR0CCII11 9/86 0.104651
36SUR0CCII11 9/86 0.104651
39MES00BBCC11 9/86 0.104651
67SUR0EEGG11 9/86 0.104651
70MES0CCEE11 9/86 0.104651
